"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","Emission_GES_5_usages","N°DPE","Code_postal_(BAN)","Identifiant__BAN","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score","Type_installation_chauffage","x","y","lon","lat"
356,NA,90,2263,"2024-09-05",825,161,"2441N3080648N","41200","41194_1926_00007",123.7,113,"maison",266,42,0,"A",35.69448,NA,605108.13,6695037.41,1.74303,47.348871
216,95.7,48,1531.2,"2024-07-23",448,110.4,"2441N2655216T","41200","41280_0023",95.7,0,"maison",162,36.8,0,"A",35.69448,NA,NA,NA,NA,NA
230,NA,45,2038,"2022-04-23",591,144,"2241N0858058F","41200","41194_0685",87,49,"maison",267,53.9,0,"A",35.610462,NA,NA,NA,NA,NA
251.2,NA,30.7,1933.9,"2022-05-02",421,142.3,"2241N0935347W","41200","41194_1340",68.3,16.3,"maison",122.9,65,0,"A",35.610462,NA,NA,NA,NA,NA
251.2,NA,30.7,1933.9,"2022-05-03",421,142.3,"2241N0942086B","41200","41194_1340",68.3,16.3,"maison",122.9,65,0,"A",35.610462,NA,NA,NA,NA,NA
237,143,54,2484.4,"2022-09-08",498,179,"2241N2035790P","41200","41194_0290",143,7,"maison",173,40,0,"A",35.610462,NA,NA,NA,NA,NA
264,NA,55,1856,"2022-01-25",538,134,"2241N0150214L","41200","41194_0834",94.5,26,"maison",193,45.2,0,"A",35.610462,NA,NA,NA,NA,NA
251,68.3,31,1933.8,"2022-05-03",421,142.3,"2241N0950084R","41200","41194_1340",68.3,0,"maison",123,65.1,0,"A",35.610462,NA,NA,NA,NA,NA
341,NA,83,2986,"2022-10-30",795,214,"2241N2561563Q","41200","41194_1779",NA,66,"maison",305,47.8,0,"A",35.610462,NA,NA,NA,NA,NA
403,NA,56,4489,"2022-05-18",694,968,"2241N1087314T","41200","41194_1050",NA,28,"maison",207,55.1,0,"C",35.610462,NA,NA,NA,NA,NA
195.1,NA,49.5,2044.5,"2022-07-22",436.6,146.5,"2241N1683277K","41200","41194_1171_00005",124.7,34.1,"maison",157.9,37,0,"A",35.610462,NA,607058.89,6696989.54,1.768463,47.366719
251,68.3,31,1933.8,"2022-05-03",421,142.3,"2241N0950069C","41200","41194_1340",68.3,0,"maison",123,65.1,0,"A",35.610462,NA,NA,NA,NA,NA
520.8,NA,85.9,4966.4,"2022-10-20",875.7,365.8,"2241N2453385Y","41200","41194_0073_00026",268,51.5,"maison",217.5,42,0,"A",35.610462,NA,603917.68,6695663.18,1.72713,47.354332
234.1,NA,55.1,2391.4,"2022-10-13",485.4,172.5,"2241N2391612B","41200","41194_0410_00078",146.2,34.4,"maison",161.8,37,0,"A",35.610462,NA,NA,NA,NA,NA
271,143.3,51,2257.6,"2022-05-30",466,165.9,"2241N1175143U","41200","41194_0686",143.3,21,"maison",106,36.2,0,"A",35.610462,NA,NA,NA,NA,NA
183,77.5,33,1860.6,"2022-12-22",412,132.9,"2241N3129182D","41200","41194_0073",77.5,2,"maison",155,55.2,0,"A",35.610462,NA,NA,NA,NA,NA
181,85.3,37,1542.1,"2022-09-15",368,111.4,"2241N2116569M","41200","41194_0532",85.3,15,"maison",115,41.6,0,"A",35.610462,NA,NA,NA,NA,NA
319,NA,73,2427,"2022-07-24",672,176,"2241N1685923E","41200","41194_2088_00028",NA,34,"maison",246,46.4,0,"A",35.610462,NA,604420.84,6697525.22,1.733399,47.371165
251,68.3,31,1933.8,"2022-05-03",421,142.3,"2241N0949637M","41200","41194_1340",68.3,0,"maison",123,65.1,0,"A",35.610462,NA,NA,NA,NA,NA
250,107.8,41,2024.5,"2022-11-25",433,148.5,"2241N2819782D","41200","41194_1171",107.8,22,"maison",104,43.2,0,"A",35.610462,NA,NA,NA,NA,NA
236,123.3,51,1843.4,"2022-07-28",408,135.6,"2241N1735832T","41200","41194_37cyld",123.3,0,"maison",105,34.4,0,"A",35.610462,NA,NA,NA,NA,NA
248,122.2,48,2317.8,"2022-11-25",481,168.1,"2241N2819510R","41200","41194_0729_00012",122.2,0,"maison",149,43.6,18,"A",35.610462,NA,604600.22,6697664.89,1.735746,47.372448
227,105.9,46,1953.4,"2022-09-07",425,142.2,"2241N2022351S","41200","41194_0834_00010",105.9,30,"maison",103,42.4,0,"A",35.610462,NA,604818.02,6698935.05,1.738363,47.383912
219,190.5,67,2616.3,"2022-01-17",518,186.7,"2241N0084153Q","41200","41194_1050_00141",190.5,9,"maison",201,31.6,0,"A",35.610462,NA,606807.85,6696907.58,1.765154,47.365946
295.1,NA,54.9,2587.5,"2022-07-26",514.7,189.9,"2241N1712149W","41200","41194_2018",147.3,27.4,"maison",137.2,40,0,"A",35.610462,NA,NA,NA,NA,NA
227.3,NA,54.1,2223.4,"2022-09-09",461.7,160.7,"2241N2057446N","41200","41194_1740_00037_b",146.8,32.5,"maison",147.9,34,0,"A",35.610462,NA,605830.65,6696734.19,1.752244,47.364247
308,NA,62,2536,"2022-04-26",715,181,"2241N0874692Z","41200","41194_0685",NA,58,"maison",287,47.9,0,"A",35.610462,NA,NA,NA,NA,NA
230,148.7,54,2504.2,"2022-10-24",503,179.5,"2241N2488781I","41200","41194_1355",148.7,7,"maison",147,38.7,0,"A",35.610462,NA,NA,NA,NA,NA
299,143.2,55,2464.6,"2022-01-06",496,182,"2241N0020074B","41200","41194_1762_00010",143.2,0,"maison",114,39.6,0,"A",35.610462,NA,605376.21,6698253.67,1.745904,47.377859
267,159,60,2383.4,"2022-12-21",486,174.3,"2241N3106240T","41200","41140_0112_00017",159,23,"maison",113,34.5,0,"A",35.610462,NA,606816.47,6705954.9,1.763391,47.447381
173.1,NA,50.9,2318.4,"2022-12-16",475.1,163.3,"2241N3073053I","41200","41185_0005",140.3,40.7,"maison",210.4,38,0,"A",35.610462,NA,NA,NA,NA,NA
218,125.2,45,2336,"2022-05-20",478,167.3,"2241N1106255G","41200","41194_s845l4",125.2,9,"maison",140,42.9,0,"A",35.610462,NA,NA,NA,NA,NA
238,101.7,40,1791.6,"2022-08-05",402,132,"2241N1796188D","41200","41280_0044",101.7,3,"maison",102,40.5,0,"A",35.610462,NA,NA,NA,NA,NA
325,83.6,43,5088.6,"2022-03-30",544,196.8,"2241N0649193Y","41200","41194_0532",83.6,0,"maison",154,78.3,0,"B",35.610462,NA,NA,NA,NA,NA
356.3,NA,42.2,4953.8,"2022-04-04",575.5,214.7,"2241N0696264J","41200","41194_0155",98,42.2,"maison",134.6,71,0,"B",35.610462,NA,NA,NA,NA,NA
321,77.2,46,3655.2,"2022-05-03",552,698.9,"2241N0941024F","41200","41194_1340_00061",77.2,3,"maison",158,61,0,"B",35.610462,NA,606198.63,6694887.61,1.757504,47.347678
453.1,NA,62.7,7539.4,"2022-03-25",749.9,299,"2241N0608097I","41200","41194_glvban",146,16.5,"maison",217.6,68,0,"A",35.610462,NA,NA,NA,NA,NA
442,122.4,49,6023.3,"2022-05-19",668,262.5,"2241N1099673C","41200","41194_0071",122.4,0,"maison",158,69.9,0,"A",35.610462,NA,NA,NA,NA,NA
363,101.1,57,4095.9,"2022-04-06",636,762.4,"2241N0709814N","41200","41280_0016",101.1,0,"maison",192,53.9,0,"B",35.610462,NA,NA,NA,NA,NA
453.1,NA,62.7,7539.4,"2022-04-25",749.9,299,"2241N0862730X","41200","41194_glvban",146,16.5,"maison",217.6,68,0,"A",35.610462,NA,NA,NA,NA,NA
182,131.1,54,1883.4,"2022-09-08",414,134.9,"2241N2035683M","41200","41194_1132",131.1,7,"maison",151,33,0,"A",35.610462,NA,NA,NA,NA,NA
256,109.5,45,1939.4,"2022-08-01",422,143.3,"2241N1749981Y","41200","41194_1800",109.5,3,"maison",101,40.7,0,"A",35.610462,NA,NA,NA,NA,NA
314.3,NA,48.1,2363,"2022-05-01",481.4,176,"2241N0929306N","41200","41194_0110_00085",119.6,19.8,"maison",99.1,45,0,"A",35.610462,NA,NA,NA,NA,NA
183.1,NA,42.5,1826.8,"2022-03-03",406,130.9,"2241N0427500H","41200","41194_1225",103.1,29.2,"maison",151.2,40,0,"A",35.610462,NA,NA,NA,NA,NA
234,114.4,46,1998.1,"2022-07-11",430,145.7,"2241N1578250X","41200","41194_0834_00011",114.4,29,"maison",104,40.2,0,"A",35.610462,NA,604860.22,6698964.7,1.738916,47.384185
231,125.5,51,1915,"2022-03-08",418,140.1,"2241N0463779Q","41200","41194_0752",125.5,25,"maison",111,35.1,0,"A",35.610462,NA,NA,NA,NA,NA
242,112.1,47,1880.5,"2022-01-24",414,138.4,"2241N0138791C","41200","41194_s845l4",112.1,3,"maison",105,38.6,0,"A",35.610462,NA,NA,NA,NA,NA
199,81.7,35,1568,"2022-04-05",370,114.2,"2241N0708117G","41200","41280_0016_00002",81.7,16,"maison",102,44.2,0,"A",35.610462,NA,607377.23,6689436.69,1.774234,47.298779
216,96,42,1676,"2022-09-15",385,122.7,"2241N2115740P","41200","41194_0532",96,5,"maison",104,40.2,0,"A",35.610462,NA,NA,NA,NA,NA
261,105.9,43,2044.4,"2022-01-25",436,150.7,"2241N0141298N","41200","41194_1050_00156_e",105.9,13,"maison",100,44.4,0,"A",35.610462,NA,606655.1,6697044.18,1.763102,47.367154
182,131.1,54,1883.4,"2022-09-08",414,134.9,"2241N2035517C","41200","41194_1132",131.1,7,"maison",151,33,0,"A",35.610462,NA,NA,NA,NA,NA
222.1,NA,42.9,1829,"2022-11-22",406.3,133.5,"2241N2771328N","41200","41194_0730",96.8,30.3,"maison",111,43,0,"A",35.610462,NA,NA,NA,NA,NA
173.8,NA,59.1,2079,"2022-09-09",441.4,147.5,"2241N2057403W","41200","41194_1740_00037_d",144.9,34.8,"maison",173.8,32,0,"A",35.610462,NA,605816.78,6696654.42,1.752077,47.363527
223.2,NA,68.3,2437.6,"2022-03-03",491.9,175.1,"2241N0427423I","41200","41194_1225",191.7,27.3,"maison",173.1,29,0,"A",35.610462,NA,NA,NA,NA,NA
269,NA,72,2085,"2022-02-17",605,149,"2241N0323633K","41200","41194_1536",NA,31,"maison",233,36.5,0,"A",35.610462,NA,NA,NA,NA,NA
250.1,NA,45.7,2152.1,"2021-12-08",451.7,157.3,"2141N0868749J","41200","41194_2018",112,29.6,"maison",126.4,44,0,"A",34.938084,NA,NA,NA,NA,NA
360,171.2,67,2925.9,"2021-12-30",566,217.5,"2141N1013950A","41200","41140_0112",171.2,4,"maison",109,39.3,0,"A",34.938084,NA,NA,NA,NA,NA
263.1,NA,3.6,2840.4,"2021-10-11",458.6,642.8,"2141N0475070W","41200","41194_0315",71.8,2.3,"maison",189.6,39.8,0,"B",34.938084,NA,NA,NA,NA,NA
621.9,NA,77.7,4894.9,"2021-09-06",968.9,1006.4,"2142N0271722V","41200","41194_1340_00005",104.9,0.8,"maison",268.5,58.1,0,"B",34.938084,NA,605428.88,6695523.25,1.747176,47.35329
223,NA,92,2205,"2021-09-02",650,159,"2141N0266292Y","41200","41194_1050",NA,35,"maison",300,37.2,0,"A",34.938084,NA,NA,NA,NA,NA
339.9,NA,74.5,2203,"2021-07-03",624,160.8,"2141N0005698C","41200","41194_2100",140.5,60.5,"maison",149,36.1,0,"A",34.938084,NA,NA,NA,NA,NA
222,89.9,38,2015.6,"2021-12-02",433,146.1,"2141N0831585Z","41200","41194_0500",89.9,0,"maison",157,51.6,0,"A",34.938084,NA,NA,NA,NA,NA
303,NA,98,2432,"2021-09-15",678,179,"2141N0325538Q","41200","41194_1146",NA,80,"maison",197,39.4,0,"A",34.938084,NA,NA,NA,NA,NA
327,141.8,56,2680.9,"2021-11-16",528,198.4,"2141N0693007B","41200","41194_0532_00021",141.8,17,"maison",104,43.5,0,"A",34.938084,NA,607121.58,6694070.48,1.769896,47.340453
351,152.4,77,2350,"2021-08-04",655,171.3,"2141N0141591T","41200","41194_0686_00014",152.4,31,"maison",170,35.5,0,"A",34.938084,NA,607028.76,6696170.66,1.768233,47.359344
231.7,NA,77.2,2503.8,"2021-12-10",502,180.5,"2141N0896452W","41200","41194_0820",188.6,0,"maison",193.1,30,0,"A",34.938084,NA,NA,NA,NA,NA
263.1,NA,3.6,2840.4,"2021-10-11",458.6,642.8,"2141N0474947D","41200","41194_0315",71.8,2.3,"maison",189.6,39.8,0,"B",34.938084,NA,NA,NA,NA,NA
298.6,NA,3.6,3078.4,"2021-10-11",497,696.7,"2141N0475029H","41200","41194_0315",86.4,2.6,"maison",192.2,35.8,0,"B",34.938084,NA,NA,NA,NA,NA
263.1,NA,3.6,2840.4,"2021-10-11",458.6,642.8,"2141N0475002G","41200","41194_0315",71.8,2.3,"maison",189.6,39.8,0,"B",34.938084,NA,NA,NA,NA,NA
263.1,NA,3.6,2840.4,"2021-10-11",458.6,642.8,"2141N0475050C","41200","41194_0315",71.8,2.3,"maison",189.6,39.8,0,"B",34.938084,NA,NA,NA,NA,NA
298.6,NA,3.6,3078.4,"2021-10-11",497,696.7,"2141N0474964U","41200","41194_0315",86.4,2.6,"maison",192.2,35.8,0,"B",34.938084,NA,NA,NA,NA,NA
298.6,NA,3.6,3078.4,"2021-10-11",497,696.7,"2141N0474976G","41200","41194_0315",86.4,2.6,"maison",192.2,35.8,0,"B",34.938084,NA,NA,NA,NA,NA
306.9,NA,3.6,3130.2,"2021-10-11",505.3,708.5,"2141N0474931N","41200","41194_0315",86.4,2.6,"maison",192.2,36.4,0,"B",34.938084,NA,NA,NA,NA,NA
306.9,NA,3.6,3130.2,"2021-10-11",505.3,708.5,"2141N0474898G","41200","41194_0315",86.4,2.6,"maison",192.2,36.4,0,"B",34.938084,NA,NA,NA,NA,NA
306.9,NA,3.6,3130.2,"2021-10-11",505.3,708.5,"2141N0474934Q","41200","41194_0315",86.4,2.6,"maison",192.2,36.4,0,"B",34.938084,NA,NA,NA,NA,NA
263.1,NA,3.6,2840.4,"2021-10-11",458.6,642.8,"2141N0475016U","41200","41194_0315",71.8,2.3,"maison",189.6,39.8,0,"B",34.938084,NA,NA,NA,NA,NA
374,99.8,63,5682.2,"2021-07-14",687,220.3,"2141N0045799L","41200","41194_1365",99.8,0,"maison",223,73.5,0,"B",34.938084,NA,NA,NA,NA,NA
324,80.2,40,4697.7,"2021-12-05",530,190.2,"2141N0844562C","41200","41140_0126",80.2,0,"maison",148,78.3,0,"B",34.938084,NA,NA,NA,NA,NA
191,71.6,37,1475.8,"2023-12-19",357,107.5,"2341N4385369B","41200","41140_0015",71.6,4,"maison",106,47.4,0,"A",32.514324,NA,NA,NA,NA,NA
213.1,NA,56.2,2454.9,"2023-11-16",494.3,175.2,"2341N3903216S","41200","41194_1451_00171",147,17.8,"maison",153.9,38,53.3,"A",32.514324,NA,605095.62,6698944.06,1.74204,47.384033
270.2,NA,31.4,1990,"2023-02-08",428.9,127.4,"2341N0416933X","41200","41194_0590_00015",75,18,"maison",109.3,61,0,"A",32.514324,NA,604951.48,6697660.94,1.740401,47.372463
244.6,NA,56.7,2216.5,"2023-09-12",460.8,161.5,"2341N3034802E","41200","41194_0893",143.2,31.9,"maison",127.6,35,0,"A",32.514324,NA,NA,NA,NA,NA
167.3,NA,62.1,2504,"2023-12-20",502,175.5,"2341N4410111R","41200","41194_0382",185,41.4,"maison",231.2,31.1,0,"A",32.514324,NA,NA,NA,NA,NA
163,73.3,31,1646,"2023-02-27",381,117.2,"2341N0645786Y","41200","41194_1750",73.3,10,"maison",156,51.6,0,"A",32.514324,NA,NA,NA,NA,NA
185,84.9,39,1638.2,"2023-02-28",380,118.2,"2341N0662222C","41200","41194_1980",84.9,5,"maison",121,44.4,0,"A",32.514324,NA,NA,NA,NA,NA
152,70.6,33,1371.2,"2023-02-28",341,98.1,"2341N0661823T","41200","41194_1980",70.6,4,"maison",119,44.7,0,"A",32.514324,NA,NA,NA,NA,NA
256.2,NA,37.3,2070.9,"2023-10-08",440.3,152,"2341N3371239B","41200","41194_1491_00049",97.1,29.9,"maison",116.9,49,0,"A",32.514324,NA,607065.18,6695079.01,1.768941,47.349523
160,74.3,31,1646,"2023-02-27",380,117.1,"2341N0645695L","41200","41194_1750",74.3,10,"maison",158,50.9,0,"A",32.514324,NA,NA,NA,NA,NA
176.3,NA,34.9,1864.9,"2023-02-09",411.3,119.4,"2341N0431083D","41200","41194_1171_00028",90,30.3,"maison",169.9,47.7,0,"A",32.514324,NA,607090.7,6696836.62,1.768916,47.365347
288.7,NA,35.9,2155.4,"2023-02-08",452.2,137.9,"2341N0417679P","41200","41194_0590_00015",87,16.7,"maison",111,57,0,"A",32.514324,NA,604951.48,6697660.94,1.740401,47.372463
269.4,NA,31.5,1976.1,"2023-02-08",427,126.5,"2341N0417032S","41200","41194_0590_00015",75,18,"maison",108.1,60.6,0,"A",32.514324,NA,604951.48,6697660.94,1.740401,47.372463
238,131.2,54,2301.4,"2023-04-07",472,166.5,"2341N1175245T","41200","41194_1325",131.2,0,"maison",105,40.3,0,"A",32.514324,NA,NA,NA,NA,NA
238,139.6,51,2317.9,"2023-12-28",475,167.8,"2341N4497544M","41200","41194_1132",139.6,6,"maison",157,38.2,0,"A",32.514324,NA,NA,NA,NA,NA
180.5,NA,36.8,1664,"2023-12-18",383.1,119.6,"2341N4376179P","41200","41140_0015",80,20.3,"maison",132.6,47,12.9,"A",32.514324,NA,NA,NA,NA,NA
259,133.8,52,2248.9,"2023-03-07",465,164.5,"2341N0738162W","41200","41194_glvban_00014",133.8,26,"maison",102,38.7,0,"A",32.514324,NA,605409.73,6698073.71,1.746386,47.376244
168,69.8,32,1334.2,"2023-06-17",337,96.4,"2341N2023586G","41200","41194_2100",69.8,15,"maison",105,44,0,"A",32.514324,NA,NA,NA,NA,NA
187,85.3,39,1691.2,"2023-02-28",387,121.9,"2341N0661852W","41200","41194_1980",85.3,5,"maison",127,45.6,0,"A",32.514324,NA,NA,NA,NA,NA
294,83.1,35,2128.6,"2023-12-06",448,158.5,"2341N4189626M","41200","41280_0116_00740",83.1,0,"maison",104,58.9,0,"A",32.514324,NA,604688.1,6693720.49,1.737746,47.336957
230.6,NA,63.2,2672,"2023-02-20",527.5,191.2,"2341N0542634O","41200","41194_2140_00178",149,25.3,"maison",208.5,41,0,"A",32.514324,NA,605845.8,6693731.42,1.753073,47.337221
195,73.8,33,1630.4,"2023-09-08",379,118.2,"2341N2995597H","41200","41194_0834",73.8,14,"maison",118,50.8,0,"A",32.514324,NA,NA,NA,NA,NA
232,146.2,56,2208,"2023-07-28",460,160.1,"2341N2558468Q","41200","41194_1355",146.2,4,"maison",149,34.7,0,"A",32.514324,NA,NA,NA,NA,NA
338,NA,54,4099,"2023-05-04",639,878,"2341N1486060E","41200","41194_1504",NA,29,"maison",218,53.3,0,"B",32.514324,NA,NA,NA,NA,NA
330,NA,46,3949,"2023-05-04",612,850,"2341N1486292C","41200","41194_1504",73.3,29,"maison",207,59.1,0,"C",32.514324,NA,NA,NA,NA,NA
186.6,NA,50.1,1970.6,"2023-03-22",426.2,140.9,"2341N0958325R","41200","41194_0834_00017",128.8,36.2,"maison",150.4,35,2.8,"A",32.514324,NA,604888.31,6699017.8,1.739277,47.384667
282,142.6,56,2459,"2023-07-14",494,180.4,"2341N2383620S","41200","41194_1970",142.6,27,"maison",106,39.7,0,"A",32.514324,NA,NA,NA,NA,NA
337,NA,54,4143,"2023-05-03",646,888,"2341N1469502I","41200","41194_1504",85,29,"maison",226,53.8,0,"B",32.514324,NA,NA,NA,NA,NA
261,91.6,34,2180.9,"2023-07-31",456,159.8,"2341N2578188C","41200","41194_0590",91.6,0,"maison",136,54.8,0,"A",32.514324,NA,NA,NA,NA,NA
185,84.9,39,1638.2,"2023-02-28",380,118.2,"2341N0662289R","41200","41194_1980",84.9,5,"maison",121,44.4,0,"A",32.514324,NA,NA,NA,NA,NA
269,141.7,54,2264.1,"2023-03-17",468,166.3,"2341N0898583X","41200","41280_0147",141.7,24,"maison",104,36.7,0,"A",32.514324,NA,NA,NA,NA,NA
261,91.6,34,2180.9,"2023-07-31",456,159.8,"2341N2578170K","41200","41194_0590",91.6,0,"maison",136,54.8,0,"A",32.514324,NA,NA,NA,NA,NA
182,NA,46.2,2281.9,"2023-06-27",470,161.5,"2341N2162567R","41200","41194_1132",125.6,27.2,"maison",214.6,41,0,"A",32.514324,NA,NA,NA,NA,NA
192,97,41,1814.1,"2023-11-29",404,130.6,"2341N4098204G","41200","41194_1050",97,13,"maison",141,43,0,"A",32.514324,NA,NA,NA,NA,NA
230.6,NA,63.2,2672,"2023-03-30",527.5,191.2,"2341N1072504E","41200","41194_B230",149,25.3,"maison",208.5,41,0,"A",32.514324,NA,NA,NA,NA,NA
167,70.6,33,1447.2,"2023-02-28",353,104.1,"2341N0662149H","41200","41194_1980",70.6,4,"maison",116,47.1,0,"A",32.514324,NA,NA,NA,NA,NA
197,131.2,56,2067.4,"2023-06-08",440,148,"2341N1902586K","41200","41194_1325",131.2,0,"maison",109,36.2,0,"A",32.514324,NA,NA,NA,NA,NA
306,NA,58.4,2411.2,"2023-10-26",488.2,179,"2341N3632258G","41200","41194_1504_00010",143.2,10.3,"maison",113.4,38,0,"A",32.514324,NA,605092.35,6694937.78,1.742842,47.347972
238.3,NA,53,2305.2,"2023-03-25",473.2,167,"2341N1001012M","41200","41194_1171",137.4,26.5,"maison",155.5,38,0,"A",32.514324,NA,NA,NA,NA,NA
287.7,NA,36,2139.5,"2023-02-08",449.9,136.9,"2341N0417291R","41200","41194_0590_00015",87,16.7,"maison",109.6,56.6,0,"A",32.514324,NA,604951.48,6697660.94,1.740401,47.372463
276,NA,37,3338,"2023-05-03",517,718,"2341N1464438O","41200","41194_1504",58,25,"maison",179,63.1,0,"C",32.514324,NA,NA,NA,NA,NA
211,99.7,43,1713.7,"2023-03-04",390,125,"2341N0718728K","41200","41194_0382",99.7,13,"maison",104,39.5,0,"A",32.514324,NA,NA,NA,NA,NA
375.7,NA,60.4,3113.8,"2023-06-09",594.5,199.3,"2341N1914323V","41200","41194_0140",184,42.5,"maison",116,38.9,0,"A",32.514324,NA,NA,NA,NA,NA
408,NA,71,4858,"2023-05-04",756,1041,"2341N1485902C","41200","41194_1504",NA,31,"maison",246,47.1,0,"B",32.514324,NA,NA,NA,NA,NA
278,150.3,57,2356.9,"2023-03-15",481,173.2,"2341N0852639V","41200","41194_1182_00049",150.3,25,"maison",103,36.1,0,"A",32.514324,NA,604256.05,6697856.83,1.731145,47.374126
167,84.9,38,1531.9,"2023-02-28",365,109.9,"2341N0662187T","41200","41194_1980",84.9,3,"maison",127,41.5,0,"A",32.514324,NA,NA,NA,NA,NA
164,70.6,33,1430.2,"2023-02-28",351,102.7,"2341N0662073J","41200","41194_1980",70.6,4,"maison",117,46.6,0,"A",32.514324,NA,NA,NA,NA,NA
332.2,NA,44.8,4590.1,"2023-12-14",618.6,991.1,"2341N4329441Z","41200","41194_m19rv6_00012",78.6,25.3,"appartement",216.3,63.6,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
253.4,NA,31.1,2634.2,"2023-12-14",429.8,495.6,"2341N4319696E","41200","41194_m19rv6",53.3,21,"appartement",124.3,64.7,0,"B",32.514324,"collectif",NA,NA,NA,NA
232.7,NA,30.3,3365.6,"2023-12-14",447.3,732.8,"2341N4328319V","41200","41194_m19rv6_00012",52.8,17.1,"appartement",167.2,68.5,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
222.5,NA,30.9,2372.1,"2023-12-14",393.9,439.6,"2341N4322261V","41200","41194_m19rv6",53.3,19.1,"appartement",121.4,59.3,0,"B",32.514324,"individuel",NA,NA,NA,NA
231.7,NA,30.2,3355.1,"2023-12-14",445.8,730.6,"2341N4328361L","41200","41194_m19rv6_00012",52.6,17,"appartement",166.9,68.5,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
222.1,NA,30.9,2370.6,"2023-12-14",393.5,439.5,"2341N4322272G","41200","41194_m19rv6",53.3,19.1,"appartement",121.4,59.2,0,"B",32.514324,"individuel",NA,NA,NA,NA
301.9,NA,40.6,4232.8,"2023-12-14",570.3,914.1,"2341N4329446E","41200","41194_m19rv6_00012",71.2,22.9,"appartement",204.9,64.7,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
298.9,NA,40.6,4222.4,"2023-12-14",567.3,913.4,"2341N4329385V","41200","41194_m19rv6_00012",71.2,22.9,"appartement",204.9,64.4,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
239.3,NA,33,2505.1,"2023-12-14",410.3,469.8,"2341N4321243R","41200","41194_m19rv6",53.3,18,"appartement",120,61.8,0,"B",32.514324,"individuel",NA,NA,NA,NA
222.1,NA,30.9,2370.6,"2023-12-14",393.5,439.5,"2341N4322286U","41200","41194_m19rv6",53.3,19.1,"appartement",121.4,59.2,0,"B",32.514324,"individuel",NA,NA,NA,NA
350.7,NA,48.7,3609.1,"2023-12-14",583.3,684.5,"2341N4322295D","41200","41194_m19rv6",84,30.1,"appartement",153.8,55.8,0,"B",32.514324,"individuel",NA,NA,NA,NA
237.9,NA,31,3425.5,"2023-12-14",455.4,745.8,"2341N4328180M","41200","41194_m19rv6_00012",54,17.5,"appartement",169,68.1,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
312.3,NA,40.9,4281.3,"2023-12-14",570.2,931,"2341N4328308K","41200","41194_m19rv6_00012",71.2,23.1,"appartement",194,64.7,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
299.2,NA,40.6,4223.2,"2023-12-14",567.6,913.4,"2341N4329432Q","41200","41194_m19rv6_00012",71.2,22.9,"appartement",204.9,64.4,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
313.1,NA,40.9,4284.4,"2023-12-14",571.1,931.2,"2341N4328218Y","41200","41194_m19rv6_00012",71.2,23.1,"appartement",194,64.8,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
361.4,NA,52.4,3691.9,"2023-12-14",592.9,704.5,"2341N4320160A","41200","41194_m19rv6_00002",84,32.9,"maison",146.2,56.6,0,"B",32.514324,NA,604743.91,6696323.73,1.737934,47.360397
225.2,NA,30.8,3380.1,"2023-12-14",451.8,733.5,"2341N4329411V","41200","41194_m19rv6_00012",54,17.4,"appartement",178.4,67.6,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
300.2,NA,40.6,4226.8,"2023-12-14",568.6,913.7,"2341N4329338A","41200","41194_m19rv6_00012",71.2,22.9,"appartement",204.9,64.5,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
245.2,NA,31.9,3503,"2023-12-14",466.2,762.1,"2341N4328405D","41200","41194_m19rv6_00012",55.5,18,"appartement",171.1,67.9,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
221.2,NA,30,3318.3,"2023-12-14",444.4,719.2,"2341N4329360W","41200","41194_m19rv6_00012",52.6,16.9,"appartement",176.3,68.2,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
219.4,NA,30,3312.2,"2023-12-14",442.6,718.9,"2341N4329373J","41200","41194_m19rv6_00012",52.6,16.9,"appartement",176.3,68,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
297.8,NA,40.6,4218.6,"2023-12-14",566.2,913.1,"2341N4329399J","41200","41194_m19rv6_00012",71.2,22.9,"appartement",204.9,64.2,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
232.7,NA,30.3,3365.6,"2023-12-14",447.3,732.8,"2341N4328229J","41200","41194_m19rv6_00012",52.8,17.1,"appartement",167.2,68.5,0,"C",32.514324,"individuel",604698.81,6696278.9,1.737346,47.359987
